A_PRGID,A_USERID,A_SYSDT,U_PRGID,U_USERID,U_SYSDT,LIST_NO,DEPTID_M,EMPLID,RATION,PROD_TYPE
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE1,20938,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE1,20873,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE1,20777,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE1,20742,0.0,03
OBZ021,23770,2026-04-29 15:21:47.597,OBZ021,23770,2026-04-29 15:21:47.597,OB202605010,XVE1,20629,0.0,03
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22961,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22350,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22304,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22291,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22290,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22287,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22286,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22282,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22272,28.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22162,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,22159,5.8,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,21557,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE4,20501,19.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,23841,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,23747,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,23701,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,23165,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,22622,0.0,02
OBZ021,23770,2026-04-29 15:20:48.977,OBZ021,23770,2026-04-29 15:20:48.977,OB202605008,XVE3,22593,0.0,02
